lemma,Polarity
a_buena_fé,0.5
a_capella,-0.25
a_cara_descubierta,0.25
a_gusto,0.75
a_la_defensiva,-0.375
a_la_medida,0.25
a_pelo,-0.25
a_primera_vista,-0.375
a_priori,0.25
a_propósito,0.25
a_toda_prisa,-0.75
a_todo_correr,-0.75
a_un_lado,-0.25
abad,0.375
abadesa,0.375
abalanzar,-0.375
abanderar,0.375
abandonado,0.25
abandonarse_a_algo,0.375
abarrotado,0.25
abasia,-0.375
abastecedor,0.25
abatible,0.375
abatida,0.25
abatido,-0.312
abatimiento,-0.375
abatir,-0.554
abatis,0.25
abdicable,0.375
abducir,-0.25
abejarrón,0.25
abejón,0.25
abenuz,-0.375
aberrante,-0.25
abetalipoproteinemia,-0.625
abierta,-0.25
abilidad,0.313
ablandabrevas,-0.5
ablandado,0.375
ablandante,0.25
abochornado,-0.25
abochornar,-0.5
abogado_del_diablo,-0.25
abogaducho,-0.25
abombar,-0.5
abominable,-0.375
abominación,-0.425
abominador,-0.375
abominar,-0.375
abonado,0.375
abonamiento,0.375
abono_orgánico,-0.25
abordabilidad,-0.5
abordable,0.75
aborrecedor,-0.375
aborrecer,-0.625
aborrecible,-0.25
aborrecimiento,-0.425
abortivo,0.25
aborto_espontáneo,0.25
aborto_inminente,-0.375
abotonar,0.375
abracadabra,0.25
abrasador,-0.25
abrasividad,-0.25
abrazadera_real,0.25
abrevadero,0.25
abrigadero,-0.25
abroncar,-0.5
abrumar,-0.361
absentista,-0.312
absolutista,-0.25
absolvedor,0.25
absolver,-0.25
absorbible,0.375
absorto,0.5
abstemio,0.375
absuelto,0.375
abuchear,-0.458
abucheo,-0.417
abultar,-0.25
abundante,0.589
abundoso,0.5
aburrido,-0.25
aburrir,-0.5
aburrirse,0.25
abusado,-0.25
abusador,-0.375
abusar,-0.333
abusión,-0.5
abuso,-0.417
abusón,-0.375
abyección,-0.25
abásico,-0.25
abúlico,-0.75
academia_del_aire,-0.25
acallamiento,0.375
acalorado,0.25
acalorar,-0.5
acalorarse,-0.25
acantión,0.25
acantonar,0.25
acaparador,0.25
acatar,0.375
acatexia,-0.25
acaudalado,0.5
acaudalar,1.0
acaudillar,-0.375
acceleración,0.25
accesibilidad,0.417
accesible,0.607
accesional,0.25
accidente,-0.25
accidente_cerebrovascular,-0.375
accidente_fatal,-0.25
accionador,0.25
acción_refleja,-0.25
acecinado,0.25
aceite,-0.25
aceite_de_absenta,-0.375
aceite_de_bacalao,-0.375
aceitunado,0.375
acelerado,0.5
acento_circunflejo,0.25
aceptabilidad,0.688
aceptable,0.688
aceptador,0.5
acero_damasquino,-0.375
acero_de_tungsteno,-0.25
acero_de_wolframio,-0.25
acertado,0.708
acetaminofeno,-0.25
acetato_de_plomo,-0.25
acetificar,0.25
acetoso,-0.562
acherontia,-0.375
achicarse,-0.375
achicharrarse,-0.312
achispado,0.375
aciago,-0.5
acibarar,-0.375
acicalado,0.5
acicalar,0.25
acidez_de_estómago,-0.5
acidia,-0.375
acidular,0.25
acierto,0.375
acinesia,-0.375
acinesis,-0.375
aclamación,0.5
aclamador,0.25
aclorhidria,-0.25
aclorhídrico,-0.25
acobardado,-0.25
acogedor,0.775
acolchado,0.25
acolchamiento,0.25
acometer,-0.25
acomodación,0.292
acomodado,0.563
acomodar,0.469
acomodaticio,0.5
acompasado,0.625
acompañante,0.375
acondrita,-0.25
acondroplasia,-0.3125
acondroplástico,-0.25
acongojado,-0.75
acongojarse,-0.687
aconsejable,0.625
aconsejado,0.5
acoplado,0.375
acoquinado,-0.5
acorazado,0.313
acorazonado,0.375
acordado,0.375
acordarse,0.438
acorralado,-0.25
acortarse,-0.25
acosado,-0.25
acosar,-0.304
acosar_sexualmente,-0.375
acoso,-0.5
acostarse_con_cualquiera,0.25
acostumbrado,0.333
acracia,-0.5
acre,-0.3
acreditado,0.667
acrilamida,-0.25
acriminación,-0.625
acriminador,-0.25
acristalado,0.375
acroanestesia,-0.25
acrobático,0.25
acrofobia,-0.25
acrofóbico,-0.25
acromatínico,0.25
acromegalia,-0.375
acromático,-0.375
acrídidos,0.25
acta_notarial,0.25
actinomicótico,-0.25
activa,0.25
activado,0.292
activador,0.25
actividad,0.25
actividad_extracurricular,0.375
actividad_principal,0.25
actividad_social,0.25
activista,0.375
activo,0.3175
activo_de_garantía,0.375
acto_de_terrorismo,-0.25
acto_reflejo,-0.25
actuado,0.375
actualizado,0.5
actuar_violentamente,-0.25
acuafobia,-0.375
acuartelar,0.25
acuerdo_escrito,0.375
acuerdo_viático,-0.25
acufeno,-0.25
acullá,0.375
acuminado,0.25
acumulativo,0.375
acusación,-0.25
acusación_falsa,-0.5
acusador,-0.25
acuñador_ilegal,-0.25
acústicamente,0.375
adamantino,-0.375
adaptabilidad,0.313
adaptable,0.313
adaptado,0.5
adaptador,0.25
adaptar,0.3
adecuación,0.5
adecuada,0.75
adecuadamente,0.25
adecuado,0.656
adecuar,0.281
adefesio,-0.312
adelanto,0.25
adenomiosis,-0.375
adenopatía,-0.375
aderezar,0.313
adherente,0.375
adhesivo,0.25
adicción_a_la_cafeína,-0.25
adiestrado,0.375
adiestrador,0.25
adiestrar,0.375
adinamia,-0.875
adinerado,0.4375
adiposo,-0.5
aditivo,0.25
adivinanza,-0.375
administrable,0.625
admirabilidad,0.625
admirable,0.906
admirablemente,0.625
admiración,0.45
admirar,0.75
admisibilidad,0.5
admisible,0.625
admisivo,0.5
admitido,0.25
adopción,0.25
adoptable,0.75
adorable,0.5
adorado,0.5
adorador,0.5
adormecimiento,0.25
adormilarse,-0.25
adormitarse,-0.25
adornado,0.625
adoxografía,0.375
adquirible,0.375
adquirido,-0.25
adrenalina,0.25
adrenocorticotrópico,0.5
adsorbato,0.25
adsorbible,0.25
adulterar,-0.562
adulterino,-0.6875
adulto,0.375
adustez,-0.5
adusto,-0.312
adversidad,-0.475
adverso,-0.375
advertencia,-0.344
advice,0.25
adyacente,0.25
aerobio,0.2815
aeroembolismo,-0.25
aerotransportado,0.375
aerófilo,0.25
aestesis,-0.25
aethusa,-0.25
afabilidad,0.583
afable,1.0
afanar,-0.687
afasia_visual,-0.375
afear,-0.333
afectividad,0.625
afectivo,0.375
afecto,0.321
afectuosamente,0.625
afectuosidad,0.375
afectuoso,0.563
afeminado,0.313
aferente,-0.25
affenpinscher,-0.25
afianzarse,0.25
aficionado,-0.25
aficionarse,0.375
afición,0.5
afilado,0.375
afiladora,0.25
afiliado,0.25
afinación,0.25
afinamiento,0.25
afinar,0.304
afirmativo,0.625
aflautado,0.25
aflicción,-0.606
afligido,-0.396
afligir,-0.675
afligirse,-0.687
afluencia,0.375
afonía,-0.292
afortunadamente,0.875
afortunado,0.813
aforístico,0.25
afrenta,-0.25
afrentar,-0.437
africada,0.25
afrontar,-0.406
afrutado,0.25
afta,-0.25
afótico,-0.375
agarico,-0.25
agarrado,-0.875
agasajar,0.333
agencia_publicitaria,0.25
agente_de_policía,-0.25
agente_del_FBI,0.25
agentes,-0.5
agil,0.375
agilidad,0.25
agitprop,-0.25
agobiante,-0.312
agobiar,-0.594
agobio,-0.625
agonizar,-0.75
agonía,-0.625
agorafobia,-0.25
agorafóbico,-0.25
agorero,-0.687
agotable,0.375
agradable,0.75
agradado,0.75
agradar,0.708
agradecido,0.5
agrado,0.625
agrandado,-0.312
agrandar,0.25
agranulocítico,-0.5
agravado,-0.375
agravamiento,-0.417
agravar,-0.281
agravarse,-0.375
agrazón,-0.292
agreder,-0.375
agregado,0.458
agresividad,-0.35
agresivo,-0.375
agresión,-0.312
agreste,-0.25
agridulce,-0.562
agrio,-0.425
agrisado,-0.25
agrisar,-0.25
agua_de_fuego,0.25
agua_potable,0.375
aguafiestas,0.375
aguardiente_de_manzana,-0.25
aguas_movedizas,-0.875
aguas_residuales,-0.25
agudeza_visual,0.25
agudizar,0.3
aguijoneo,-0.25
agujereado,0.25
agujero_negro,0.25
agárico,-0.25
agónico,-0.75
aherrumbrar,-0.25
ahogadero,-0.25
ahogado,-0.375
ahorquillado,0.25
ahorrador,0.5
ahorrativo,0.5
ahuecamiento,-0.75
ahumado,0.25
ahusado,0.25
ahusar,0.375
ailurofobia,-0.25
airado,-0.5
aire_cargado,-0.25
aire_viciado,-0.25
aireado,0.25
airosidad,0.5
ajustable,0.5
ajustado,0.375
ajustar,0.292
ajusticiar,-0.25
al-hakim,0.25
al_contado,-0.25
al_corriente,0.25
al_día,0.5
alabanza,0.5
alabar,1.0
alabar_con_exceso,0.5
alacridad,0.25
alado,0.313
alambre,0.25
alar,-0.375
alarmado,-0.25
alarmante,-0.333
alarmar,-0.25
alarmismo,-0.5
alazán,0.25
albayalde,-0.25
albinismo,-0.25
alborada,0.25
alborotado,-0.375
alborotador,-0.417
alboroto,-0.25
alborotoso,-0.25
alborozar,1.0
alborozo,0.25
albuminuria,-0.5
alcalescente,0.25
alcalótico,0.25
alcanforado,0.25
alcanforar,0.25
alcanzado,0.375
alcista,0.625
alcoholismo,-0.25
alcoholizado,0.25
alcohólico,0.0
alcotana,0.25
aleatoriedad,-0.25
aleatorizar,-0.25
alegrar,0.458
alegrarse,1.0
alegre,0.661
alentador,0.422
alentar,0.275
alero,-0.375
alerta,0.375
alexia,-0.375
alfabetismo,0.375
alfil,-0.375
alfiler,0.25
alfilerazo,-0.437
algarabía,-0.437
algarada,-0.375
algodón_hidrófilo,-0.25
algofóbico,-0.75
algolágnico,-0.25
